Sample #	Date	Start Time	Aerodynamic Diameter	0.542	0.583	0.626	0.673	0.723	0.777	0.835	0.898	0.965	1.037	1.114	1.197	1.286	1.382	1.486	1.596	1.715	1.843	1.981	2.129	2.288	2.458	2.642	2.839	3.051	3.278	3.523	3.786	4.068	4.371	4.698	5.048	5.425	5.829	6.264	6.732	7.234	7.774	8.354	8.977	9.647	10.37	11.14	11.97	12.86	13.82	14.86	15.96	17.15	18.43	19.81	Event 1	Event 3	Event 4	Dead Time	Inlet Pressure	Total Flow	Sheath Flow	Analog Input Voltage 0	Analog Input Voltage 1	Digital Input Level 0	Digital Input Level 1	Digital Input Level 2	Laser Power	Laser Current	Sheath Pump Voltage	Total Pump Voltage	Box Temperature	Avalanch Photo Diode Temperature	Avalanch Photo Diode Voltage	Status Flags	Median(µm)	Mean(µm)	Geo. Mean(µm)	Mode(µm)	Geo. Std. Dev.	Total Conc.
25	12/12/19	07:35:24	Raw Counts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	989.3	4.96	3.99	0	0	0	0	0	75	56	2.63	2.607	29.9	25.6	217	0000 0000 0000 0000	-1.#IND	-1.#IND	-1.#IND	0	-1.#IND	0(#/cm³)
26	12/12/19	07:35:30	Raw Counts	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	989	4.96	3.98	0	0	0	0	0	75	56.1	2.644	2.608	29.9	25.6	217	0000 0000 0000 0000	0.627245	0.626434	0.626434	0.626434	1	0.0099998(#/cm³)
27	12/12/19	07:35:36	Raw Counts	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	989.3	4.96	3.98	0	0	0	0	0	75	56.1	2.632	2.609	30	25.6	217	0000 0000 0000 0000	0.965911	0.964662	0.964662	0.964662	1	0.0099998(#/cm³)
28	12/12/19	07:35:42	Raw Counts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	988.7	4.96	3.98	0	0	0	0	0	75	56.1	2.626	2.607	30	25.6	217	0000 0000 0000 0000	-1.#IND	-1.#IND	-1.#IND	0	-1.#IND	0(#/cm³)
29	12/12/19	07:35:48	Raw Counts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	989.3	4.96	3.98	0	0	0	0	0	75	56.1	2.639	2.608	30	25.6	217	0000 0000 0000 0000	-1.#IND	-1.#IND	-1.#IND	0	-1.#IND	0(#/cm³)
30	12/12/19	07:35:54	Raw Counts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	989	4.97	4	0	0	0	0	0	75	56.1	2.626	2.606	30	25.6	217	0000 0000 0000 0000	-1.#IND	-1.#IND	-1.#IND	0	-1.#IND	0(#/cm³)
31	12/12/19	07:36:00	Raw Counts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	988.7	4.97	3.99	0	0	0	0	0	75	56.1	2.638	2.608	30	25.6	217	0000 0000 0000 0000	-1.#IND	-1.#IND	-1.#IND	0	-1.#IND	0(#/cm³)
32	12/12/19	07:36:06	Raw Counts	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	988.7	4.97	3.99	0	0	0	0	0	75	56.1	2.642	2.607	30.1	25.6	217	0000 0000 0000 0000	0.965911	0.964662	0.964662	0.964662	1	0.0099998(#/cm³)
33	12/12/19	07:36:12	Raw Counts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	989	4.96	3.99	0	0	0	0	0	75	56.1	2.629	2.606	30.1	25.6	217	0000 0000 0000 0000	-1.#IND	-1.#IND	-1.#IND	0	-1.#IND	0(#/cm³)
34	12/12/19	07:36:18	Raw Counts	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	989	4.96	4	0	0	0	0	0	75	56.1	2.632	2.609	30.1	26.1	217	0000 0000 0000 0000	0.724331	0.723394	0.723394	0.723394	1	0.0099998(#/cm³)
