Sample #	Date	Start Time	Aerodynamic Diameter	0.542	0.583	0.626	0.673	0.723	0.777	0.835	0.898	0.965	1.037	1.114	1.197	1.286	1.382	1.486	1.596	1.715	1.843	1.981	2.129	2.288	2.458	2.642	2.839	3.051	3.278	3.523	3.786	4.068	4.371	4.698	5.048	5.425	5.829	6.264	6.732	7.234	7.774	8.354	8.977	9.647	10.37	11.14	11.97	12.86	13.82	14.86	15.96	17.15	18.43	19.81	Event 1	Event 3	Event 4	Dead Time	Inlet Pressure	Total Flow	Sheath Flow	Analog Input Voltage 0	Analog Input Voltage 1	Digital Input Level 0	Digital Input Level 1	Digital Input Level 2	Laser Power	Laser Current	Sheath Pump Voltage	Total Pump Voltage	Box Temperature	Avalanch Photo Diode Temperature	Avalanch Photo Diode Voltage	Status Flags	Median(µm)	Mean(µm)	Geo. Mean(µm)	Mode(µm)	Geo. Std. Dev.	Total Conc.
927	12/12/19	09:05:36	Raw Counts	84	88	102	136	120	97	89	101	97	81	58	48	51	35	24	25	16	17	17	16	21	11	20	28	29	20	13	6	7	3	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420	5	0	6	989.9	4.97	4	0	0	0	0	0	75	57.9	2.617	2.611	35	32.4	222	0000 0000 0000 0000	0.877086	1.15608	0.993757	0.67317	1.65592	14.6497(#/cm³)
928	12/12/19	09:05:42	Raw Counts	82	96	117	120	116	74	70	92	69	69	58	51	44	35	22	23	27	21	22	18	15	14	18	40	40	25	10	11	9	4	2	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	382	3	0	6	990.8	4.97	3.98	0	0	0	0	0	75	57.9	2.637	2.608	35	32.4	222	0000 0000 0000 0000	0.890417	1.23404	1.03306	0.67317	1.73077	14.1797(#/cm³)
929	12/12/19	09:05:48	Raw Counts	76	95	91	90	105	86	77	91	80	65	60	41	44	35	22	25	15	27	17	19	15	9	24	18	36	25	13	9	2	3	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	359	3	0	5	990.2	4.97	4	0	0	0	0	0	75	57.9	2.623	2.61	35	32.4	222	0000 0000 0000 0000	0.894587	1.19668	1.02031	0.723394	1.68599	13.1897(#/cm³)
930	12/12/19	09:05:54	Raw Counts	77	94	126	122	114	96	78	81	77	70	53	52	32	36	32	34	16	21	21	14	17	7	22	25	22	16	15	3	9	7	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366	3	0	6	989.6	4.97	4.01	0	0	0	0	0	75	57.9	2.616	2.611	35	32.4	222	0000 0000 0000 0000	0.858041	1.15059	0.987517	0.626434	1.66271	13.9197(#/cm³)
931	12/12/19	09:06:00	Raw Counts	84	71	98	109	97	89	86	78	62	53	38	39	34	26	30	25	20	18	20	11	17	9	15	35	29	22	8	5	0	3	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	321	3	0	5	990.5	4.96	4	0	0	0	0	0	75	57.9	2.632	2.607	35	32.4	222	0000 0000 0000 0000	0.854982	1.17323	0.999214	0.67317	1.68423	12.3498(#/cm³)
932	12/12/19	09:06:06	Raw Counts	75	102	102	94	111	94	80	86	58	69	62	37	41	33	38	26	10	17	24	12	18	9	12	32	28	26	11	5	3	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	2	0	5	990.5	4.96	3.99	0	0	0	0	0	75	57.9	2.628	2.609	35	32.4	222	0000 0000 0000 0000	0.868028	1.16112	0.997387	0.723394	1.66624	13.1997(#/cm³)
933	12/12/19	09:06:12	Raw Counts	92	99	99	108	105	112	99	67	82	63	62	41	34	28	40	16	21	18	21	18	18	18	18	22	22	20	11	11	6	4	3	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	341	1	0	6	990.8	4.97	4	0	0	0	0	0	75	57.9	2.633	2.607	35	32.4	222	0000 0000 0000 0000	0.852244	1.1656	0.993689	0.777365	1.67976	13.8097(#/cm³)
934	12/12/19	09:06:18	Raw Counts	72	76	83	85	93	96	60	61	68	45	46	42	38	25	22	16	16	11	10	11	18	11	14	19	31	23	11	9	2	1	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	2	0	4	990.8	4.97	4.01	0	0	0	0	0	75	57.9	2.636	2.608	35	32.4	222	0000 0000 0000 0000	0.861511	1.1843	1.00477	0.777365	1.69524	11.1998(#/cm³)
935	12/12/19	09:06:24	Raw Counts	65	95	88	103	97	86	80	72	59	55	48	41	29	30	26	16	19	18	17	12	12	18	21	23	32	12	4	5	1	4	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0	0	5	990.2	4.97	4.01	0	0	0	0	0	75	57.9	2.623	2.61	35	32.4	222	0000 0000 0000 0000	0.852989	1.15123	0.989074	0.67317	1.66342	11.9198(#/cm³)
936	12/12/19	09:06:30	Raw Counts	87	89	90	110	103	112	86	67	60	48	52	50	30	30	29	26	20	20	10	16	13	17	19	25	23	23	9	4	4	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	316	4	0	5	990.5	4.97	3.99	0	0	0	0	0	75	57.9	2.623	2.607	35	32.4	222	0000 0000 0000 0000	0.839243	1.14499	0.983114	0.777365	1.6633	12.7597(#/cm³)
937	12/12/19	09:06:36	Raw Counts	85	98	92	94	85	79	96	65	65	47	43	50	36	26	25	31	22	18	9	16	11	15	21	19	26	16	17	6	2	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	2	0	5	990.5	4.97	4	0	0	0	0	0	75	57.9	2.626	2.607	35	32.4	222	0000 0000 0000 0000	0.854305	1.15582	0.990454	0.582942	1.67361	12.1898(#/cm³)
938	12/12/19	09:06:42	Raw Counts	66	68	79	80	84	58	66	69	61	45	36	49	23	19	19	15	17	5	18	19	3	20	13	16	21	23	10	5	2	3	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	301	2	0	4	990.5	4.97	4	0	0	0	0	0	75	57.9	2.626	2.606	35	32.4	222	0000 0000 0000 0000	0.87402	1.20291	1.00902	0.723394	1.70877	10.1798(#/cm³)
939	12/12/19	09:06:48	Raw Counts	55	67	80	81	75	70	64	61	40	39	41	33	26	28	25	17	11	15	12	6	15	11	13	20	22	16	4	5	1	2	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	1	0	4	989.9	4.97	3.99	0	0	0	0	0	75	57.9	2.634	2.608	35.1	32.4	222	0000 0000 0000 0000	0.854775	1.16037	0.994053	0.67317	1.67051	9.58981(#/cm³)
940	12/12/19	09:06:54	Raw Counts	69	83	75	91	82	79	91	76	62	42	38	42	38	35	21	25	15	6	8	19	20	8	11	29	20	20	10	5	2	2	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	293	2	0	4	990.8	4.97	3.99	0	0	0	0	0	75	57.9	2.64	2.607	35	32.4	222	0000 0000 0000 0000	0.862558	1.16642	0.997515	0.67317	1.6709	11.2798(#/cm³)
941	12/12/19	09:07:00	Raw Counts	71	90	98	111	103	96	94	69	75	69	60	37	32	29	29	19	23	15	16	21	20	11	15	18	31	25	13	3	3	3	2	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	357	3	0	5	990.8	4.96	4	0	0	0	0	0	75	57.9	2.642	2.61	35	32.4	222	0000 0000 0000 0000	0.859805	1.16747	0.99876	0.67317	1.67189	13.0497(#/cm³)
942	12/12/19	09:07:06	Raw Counts	70	79	92	104	96	85	79	71	48	55	48	32	28	24	28	16	17	23	16	11	12	12	17	30	26	15	8	4	2	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	347	1	0	4	990.2	4.97	4.01	0	0	0	0	0	75	57.9	2.626	2.609	35	32.4	222	0000 0000 0000 0000	0.844821	1.15331	0.987011	0.67317	1.67048	11.5298(#/cm³)
943	12/12/19	09:07:12	Raw Counts	70	69	87	104	92	105	76	63	66	50	47	43	34	31	32	24	18	18	18	18	15	14	16	27	30	14	9	6	5	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	6	0	5	990.5	4.97	3.99	0	0	0	0	0	75	57.9	2.627	2.608	35	32.4	222	0000 0000 0000 0000	0.866525	1.18057	1.01297	0.777365	1.67246	12.0598(#/cm³)
944	12/12/19	09:07:18	Raw Counts	62	79	82	103	81	89	76	63	68	54	44	40	37	27	22	21	15	23	19	16	16	13	17	25	28	15	8	6	8	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	0	0	5	990.8	4.97	3.98	0	0	0	0	0	75	57.9	2.637	2.607	35	32.4	222	0000 0000 0000 0000	0.87576	1.19043	1.01736	0.67317	1.68307	11.6198(#/cm³)
945	12/12/19	09:07:24	Raw Counts	87	93	109	87	90	87	74	86	79	50	55	52	32	29	26	14	26	28	11	5	24	15	14	26	35	18	9	4	1	1	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	2	0	5	990.2	4.97	4.01	0	0	0	0	0	75	57.9	2.621	2.609	35	32.4	222	0000 0000 0000 0000	0.87329	1.15858	0.99301	0.626434	1.67088	12.7197(#/cm³)
946	12/12/19	09:07:30	Raw Counts	93	98	96	107	94	90	88	91	68	63	43	55	34	28	27	27	29	14	20	19	17	11	24	25	24	22	8	4	3	2	1	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	359	2	0	5	990.2	4.96	4	0	0	0	0	0	75	57.9	2.624	2.609	35.1	32.4	222	0000 0000 0000 0000	0.865841	1.15985	0.993099	0.67317	1.67155	13.2997(#/cm³)
947	12/12/19	09:07:36	Raw Counts	84	78	110	76	89	102	79	70	58	60	47	43	30	23	26	29	15	19	14	15	15	17	16	16	21	15	5	6	4	2	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	308	2	0	5	990.8	4.97	3.98	0	0	0	0	0	75	57.9	2.63	2.609	35	32.4	222	0000 0000 0000 0000	0.848248	1.13462	0.976892	0.626434	1.65216	11.8798(#/cm³)
948	12/12/19	09:07:42	Raw Counts	74	90	89	114	99	82	95	57	71	55	55	50	38	35	33	21	14	18	14	14	15	20	21	29	31	15	5	5	5	3	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359	2	0	5	990.5	4.97	3.99	0	0	0	0	0	75	57.9	2.622	2.61	35	32.4	222	0000 0000 0000 0000	0.862092	1.17275	1.00482	0.67317	1.67378	12.7197(#/cm³)
949	12/12/19	09:07:48	Raw Counts	59	94	99	90	94	88	90	69	65	64	46	36	26	35	31	26	19	13	14	20	13	12	18	33	26	13	6	2	3	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	5	989.9	4.96	3.99	0	0	0	0	0	75	57.9	2.619	2.613	35	32.4	222	0000 0000 0000 0000	0.859506	1.14643	0.991127	0.626434	1.64763	12.0698(#/cm³)
950	12/12/19	09:07:54	Raw Counts	83	83	94	110	98	72	80	71	63	49	58	42	38	26	25	23	19	12	22	15	12	11	12	23	19	21	8	7	5	1	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320	11	0	5	989.9	4.96	3.98	0	0	0	0	0	75	57.9	2.622	2.611	35	32.4	222	0000 0000 0000 0000	0.854117	1.14637	0.982596	0.67317	1.6653	12.0698(#/cm³)
951	12/12/19	09:08:00	Raw Counts	83	87	92	87	96	84	79	74	66	56	50	43	35	26	24	11	21	27	14	11	11	14	17	26	34	16	6	3	1	3	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	1	0	5	990.2	4.97	3.99	0	0	0	0	0	75	57.9	2.619	2.608	35	32.4	222	0000 0000 0000 0000	0.860813	1.15376	0.989422	0.723394	1.66785	12.0098(#/cm³)
952	12/12/19	09:08:06	Raw Counts	83	89	102	111	102	112	94	84	68	55	49	51	34	24	22	28	22	13	16	10	14	10	16	25	29	13	6	4	6	1	1	0	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332	1	0	5	990.8	4.96	4	0	0	0	0	0	75	57.9	2.631	2.607	35	32.4	222	0000 0000 0000 0000	0.839004	1.12833	0.968406	0.777365	1.65046	12.9997(#/cm³)
953	12/12/19	09:08:12	Raw Counts	93	88	90	106	88	86	73	72	84	59	53	61	30	40	28	14	21	25	21	19	12	14	21	29	36	16	10	7	5	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	0	0	5	990.5	4.97	4	0	0	0	0	0	75	57.9	2.632	2.607	35	32.4	222	0000 0000 0000 0000	0.892115	1.18448	1.01346	0.67317	1.68275	13.0497(#/cm³)
954	12/12/19	09:08:18	Raw Counts	71	92	102	112	95	87	81	84	65	64	42	50	39	38	28	29	20	22	15	19	13	12	12	20	26	28	10	7	3	2	2	2	0	1	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	382	3	0	5	990.2	4.97	4.01	0	0	0	0	0	75	57.9	2.634	2.607	35	32.4	222	0000 0000 0000 0000	0.873067	1.1907	1.00766	0.67317	1.69076	12.9697(#/cm³)
955	12/12/19	09:08:24	Raw Counts	93	109	127	122	130	116	102	118	98	75	65	52	54	34	33	26	22	23	25	16	17	15	23	15	33	32	13	8	3	5	0	2	1	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	412	0	0	7	990.8	4.96	3.99	0	0	0	0	0	75	57.9	2.626	2.609	35	32.4	222	0000 0000 0000 0000	0.87036	1.16274	0.992706	0.723394	1.66778	16.1197(#/cm³)
956	12/12/19	09:08:30	Raw Counts	98	95	98	106	116	111	83	81	74	62	55	55	33	38	35	18	23	18	17	25	25	18	16	25	28	16	16	8	3	2	5	3	0	2	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	346	4	0	6	990.8	4.96	3.98	0	0	0	0	0	75	57.9	2.634	2.609	35	32.4	222	0000 0000 0000 0000	0.865438	1.1955	1.00935	0.723394	1.70236	14.1097(#/cm³)
957	12/12/19	09:08:36	Raw Counts	75	93	92	106	103	91	91	88	71	49	49	36	29	30	29	25	17	12	12	17	15	16	23	14	27	16	10	3	2	3	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	3	0	5	989.9	4.97	3.99	0	0	0	0	0	75	57.9	2.618	2.61	35	32.4	222	0000 0000 0000 0000	0.849005	1.13522	0.976741	0.67317	1.65292	12.4898(#/cm³)
958	12/12/19	09:08:42	Raw Counts	78	110	105	105	107	106	97	81	76	55	58	40	42	38	26	19	15	19	19	16	14	11	16	25	29	24	7	8	5	4	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346	2	0	5	990.8	4.97	4	0	0	0	0	0	75	57.9	2.63	2.606	35	32.4	222	0000 0000 0000 0000	0.849159	1.15026	0.984409	0.582942	1.66829	13.5997(#/cm³)
959	12/12/19	09:08:48	Raw Counts	83	91	110	96	94	101	93	63	76	48	43	44	51	29	35	20	19	18	24	17	19	18	11	30	36	33	17	6	13	7	3	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	358	0	0	5	989.9	4.96	3.99	0	0	0	0	0	75	57.9	2.63	2.609	35	32.4	222	0000 0000 0000 0000	0.874734	1.26003	1.04706	0.626434	1.7547	13.5197(#/cm³)
960	12/12/19	09:08:54	Raw Counts	60	93	99	101	106	92	99	81	75	53	62	39	42	37	27	26	17	17	20	17	10	12	25	20	28	23	18	9	5	4	3	1	2	0	0	0	2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	378	4	0	5	990.2	4.96	3.98	0	0	0	0	0	75	57.9	2.627	2.609	35	32.4	222	0000 0000 0000 0000	0.877699	1.22837	1.02897	0.723394	1.71568	13.2797(#/cm³)
961	12/12/19	09:09:00	Raw Counts	88	91	96	117	112	103	95	84	63	59	56	51	42	37	32	21	25	23	18	17	20	15	26	18	27	26	18	9	6	5	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	3	0	6	990.2	4.96	3.98	0	0	0	0	0	75	57.9	2.62	2.611	35	32.4	222	0000 0000 0000 0000	0.867294	1.20056	1.01828	0.67317	1.70026	14.0597(#/cm³)
962	12/12/19	09:09:06	Raw Counts	74	92	97	110	95	101	96	85	69	55	64	41	48	28	25	22	23	17	25	17	17	13	20	29	36	20	15	9	5	7	2	4	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	3	0	5	990.2	4.97	4	0	0	0	0	0	75	57.9	2.621	2.609	35	32.4	222	0000 0000 0000 0000	0.879074	1.2226	1.03139	0.67317	1.71385	13.6297(#/cm³)
963	12/12/19	09:09:12	Raw Counts	76	106	108	114	114	105	98	80	68	74	45	50	46	36	23	18	19	23	18	7	18	24	15	25	29	25	17	8	4	2	1	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	367	1	0	6	990.8	4.97	3.99	0	0	0	0	0	75	57.9	2.632	2.61	35	32.4	222	0000 0000 0000 0000	0.853633	1.17288	0.997536	0.67317	1.68447	13.9997(#/cm³)
964	12/12/19	09:09:18	Raw Counts	85	116	107	94	104	90	83	75	72	61	44	44	23	32	13	26	23	21	18	14	14	18	16	18	38	24	20	9	9	5	2	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	2	0	5	989.6	4.96	3.98	0	0	0	0	0	75	57.9	2.618	2.613	35	32.4	222	0000 0000 0000 0000	0.853478	1.20798	1.00963	0.582942	1.73554	13.2197(#/cm³)
965	12/12/19	09:09:24	Raw Counts	78	84	97	101	114	97	80	82	74	57	52	50	39	35	30	19	25	17	18	11	10	15	25	29	29	21	16	7	9	4	1	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	307	2	0	5	990.8	4.97	3.98	0	0	0	0	0	75	57.9	2.642	2.607	35	32.4	222	0000 0000 0000 0000	0.878351	1.21216	1.0235	0.723394	1.70808	13.3197(#/cm³)
966	12/12/19	09:09:30	Raw Counts	83	102	104	100	101	89	87	88	72	66	70	55	27	25	35	25	28	28	23	17	16	18	26	28	25	23	10	9	8	1	4	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	2	0	6	990.5	4.97	3.99	0	0	0	0	0	75	57.9	2.627	2.608	35	32.4	222	0000 0000 0000 0000	0.891503	1.21685	1.02851	0.626434	1.70834	13.9997(#/cm³)
967	12/12/19	09:09:36	Raw Counts	66	76	82	81	96	86	76	75	63	56	47	29	23	28	35	18	20	18	16	17	12	9	10	22	34	24	15	9	7	2	1	3	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	300	1	0	5	990.2	4.96	4	0	0	0	0	0	75	57.9	2.624	2.61	35	32.4	222	0000 0000 0000 0000	0.88161	1.24014	1.03753	0.723394	1.73157	11.6098(#/cm³)
968	12/12/19	09:09:42	Raw Counts	66	80	81	90	81	82	68	54	63	55	38	35	29	29	35	17	12	11	17	13	14	18	15	25	26	21	13	7	4	4	3	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	275	1	0	4	990.5	4.97	4.01	0	0	0	0	0	75	57.9	2.634	2.607	35.1	32.4	222	0000 0000 0000 0000	0.875504	1.23334	1.03174	0.67317	1.7327	11.1098(#/cm³)
969	12/12/19	09:09:48	Raw Counts	76	82	82	114	105	80	75	61	64	55	35	42	25	20	28	18	20	20	17	18	19	11	19	24	34	19	13	18	4	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	4	0	5	989.6	4.96	4	0	0	0	0	0	75	57.9	2.63	2.612	35.1	32.4	222	0000 0000 0000 0000	0.858102	1.22735	1.02734	0.67317	1.73818	12.0698(#/cm³)
970	12/12/19	09:09:54	Raw Counts	85	104	115	118	108	112	105	92	70	53	56	46	47	31	27	27	27	19	16	12	12	12	24	29	30	35	5	10	2	0	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366	3	0	6	990.5	4.97	3.99	0	0	0	0	0	75	57.9	2.629	2.607	35.1	32.4	222	0000 0000 0000 0000	0.849622	1.15892	0.990394	0.67317	1.67456	14.3497(#/cm³)
971	12/12/19	09:10:00	Raw Counts	72	88	112	100	99	88	87	87	82	70	42	38	51	29	34	14	31	23	14	19	20	22	27	31	35	19	16	8	6	3	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	4	0	6	990.8	4.97	3.99	0	0	0	0	0	75	57.9	2.63	2.609	35	32.4	222	0000 0000 0000 0000	0.89662	1.22918	1.04088	0.626434	1.71165	13.7297(#/cm³)
972	12/12/19	09:10:06	Raw Counts	81	109	100	106	89	79	91	87	65	57	56	40	43	17	22	39	15	19	11	20	9	21	18	34	29	25	10	6	5	3	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326	2	0	5	990.2	4.96	4	0	0	0	0	0	75	57.9	2.62	2.611	35	32.4	222	0000 0000 0000 0000	0.866525	1.18497	1.00545	0.582942	1.69926	13.0997(#/cm³)
973	12/12/19	09:10:12	Raw Counts	82	84	94	93	104	113	85	83	64	44	37	33	31	27	23	26	14	24	17	14	13	15	29	28	32	26	16	14	4	1	0	1	2	3	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	338	1	0	5	990.8	4.96	3.98	0	0	0	0	0	75	57.9	2.628	2.612	35	32.4	222	0000 0000 0000 0000	0.856262	1.25287	1.03454	0.777365	1.76068	12.8097(#/cm³)
974	12/12/19	09:10:18	Raw Counts	73	80	119	108	95	94	75	91	67	59	60	40	42	35	33	27	21	20	12	15	19	16	33	33	38	28	18	5	7	3	2	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	366	1	0	5	989.6	4.96	3.98	0	0	0	0	0	75	57.9	2.63	2.616	35	32.4	222	0000 0000 0000 0000	0.897074	1.26171	1.05266	0.626434	1.74066	13.7397(#/cm³)
975	12/12/19	09:10:24	Raw Counts	80	101	102	117	109	104	89	97	63	60	49	55	44	32	22	26	25	30	24	23	23	25	29	28	35	25	13	6	6	4	1	3	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	400	2	0	6	990.5	4.97	4	0	0	0	0	0	75	57.9	2.625	2.611	35.1	32.4	222	0000 0000 0000 0000	0.88352	1.23744	1.04172	0.67317	1.72433	14.5497(#/cm³)
976	12/12/19	09:10:30	Raw Counts	67	82	99	86	94	94	84	79	47	42	50	38	31	27	28	20	28	21	20	19	10	15	18	19	33	24	7	10	6	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	2	0	5	990.5	4.97	3.99	0	0	0	0	0	75	57.9	2.637	2.609	35	32.4	222	0000 0000 0000 0000	0.863302	1.20324	1.02088	0.626434	1.70239	12.0298(#/cm³)
977	12/12/19	09:10:36	Raw Counts	85	92	92	115	92	101	98	72	65	54	54	50	53	31	24	25	21	12	28	18	20	28	24	35	37	30	15	14	5	1	0	1	2	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	359	2	0	6	989.9	4.97	4	0	0	0	0	0	75	57.9	2.619	2.611	35	32.4	222	0000 0000 0000 0000	0.888075	1.26732	1.05684	0.67317	1.74839	13.9797(#/cm³)
978	12/12/19	09:10:42	Raw Counts	75	86	90	89	89	88	78	66	77	60	56	40	34	33	31	15	18	14	13	18	17	19	26	30	29	20	16	3	3	2	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	323	2	0	5	989.9	4.97	3.99	0	0	0	0	0	75	57.9	2.62	2.611	35	32.4	222	0000 0000 0000 0000	0.891993	1.22026	1.03088	0.626434	1.71115	12.4198(#/cm³)
979	12/12/19	09:10:48	Raw Counts	68	88	93	87	90	85	73	67	69	62	37	43	37	27	31	16	16	17	20	17	15	18	33	31	34	25	11	9	2	3	1	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	340	0	0	5	990.8	4.96	3.99	0	0	0	0	0	75	57.9	2.637	2.611	35.1	32.4	222	0000 0000 0000 0000	0.896437	1.25246	1.05092	0.626434	1.73732	12.2998(#/cm³)
980	12/12/19	09:10:54	Raw Counts	89	101	84	103	102	105	86	84	74	60	58	47	41	25	27	22	12	23	19	22	19	17	29	34	36	34	15	8	3	3	0	1	2	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	346	2	0	6	990.2	4.97	3.98	0	0	0	0	0	75	57.9	2.626	2.608	35.1	32.4	222	0000 0000 0000 0000	0.884996	1.24075	1.04046	0.777365	1.73422	13.8797(#/cm³)
981	12/12/19	09:11:00	Raw Counts	95	104	128	113	104	93	92	83	70	65	66	50	50	40	21	22	24	17	18	17	20	23	29	31	33	26	11	4	3	5	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	372	4	0	6	990.5	4.97	3.98	0	0	0	0	0	75	57.9	2.631	2.609	35.1	32.4	222	0000 0000 0000 0000	0.867693	1.18311	1.00694	0.626434	1.6937	14.6097(#/cm³)
982	12/12/19	09:11:06	Raw Counts	90	99	115	101	106	106	105	84	88	51	51	41	44	37	35	31	23	17	16	16	22	36	33	42	37	20	17	7	2	2	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	405	3	0	6	990.2	4.97	3.99	0	0	0	0	0	75	57.9	2.621	2.609	35	32.4	222	0000 0000 0000 0000	0.879993	1.2305	1.03774	0.626434	1.72016	14.7897(#/cm³)
983	12/12/19	09:11:12	Raw Counts	68	107	95	104	98	88	83	80	63	65	56	44	45	28	24	24	26	20	16	18	20	31	35	29	32	23	13	7	0	5	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333	2	0	5	990.5	4.97	4.01	0	0	0	0	0	75	57.9	2.627	2.609	35	32.4	222	0000 0000 0000 0000	0.892789	1.2284	1.0415	0.582942	1.71288	13.5097(#/cm³)
984	12/12/19	09:11:18	Raw Counts	81	103	96	101	100	93	85	75	64	55	52	37	43	34	28	16	24	15	16	24	22	26	28	37	43	21	16	4	2	3	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320	3	0	5	990.8	4.97	4.01	0	0	0	0	0	75	57.9	2.627	2.608	35	32.4	222	0000 0000 0000 0000	0.879886	1.23703	1.04201	0.582942	1.73191	13.4897(#/cm³)
985	12/12/19	09:11:24	Raw Counts	103	93	115	120	100	85	90	85	83	61	58	66	30	38	34	18	15	21	23	13	24	29	34	28	36	33	13	7	5	7	3	2	2	1	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	389	2	0	6	990.2	4.97	3.99	0	0	0	0	0	75	57.9	2.619	2.61	35.1	32.4	222	0000 0000 0000 0000	0.892385	1.26104	1.04544	0.67317	1.75641	14.7997(#/cm³)
986	12/12/19	09:11:30	Raw Counts	83	95	101	95	88	89	83	74	65	54	62	35	42	31	24	15	23	22	23	24	30	19	24	39	34	28	14	9	8	2	3	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	354	5	0	5	990.8	4.97	4	0	0	0	0	0	75	57.9	2.628	2.609	35.1	32.4	222	0000 0000 0000 0000	0.89885	1.27141	1.0624	0.626434	1.75446	13.4197(#/cm³)
